Model,Num_hidden_layers,Layer_widths,Train_Acc,Val_Acc,Train_Loss,Val_Loss,Early_Stopping_Epoch
TresLocos,3,512;512;256,,,,,
Three_Musketers,3,256;256;256,,,,,
threes_company,3,128;128;128,,,,,
Winter_Is_Coming,3,512;256;256,,,,,
dosEquis,2,512;256,,,,,
Twins,2,512;128,,,,,
seeingDouble,2,1024;256,,,,,
paul,1,512,,,,,
john,1,256,,,,,
Night_At_The_Museum,4,512;256;256;128,,,,,
The_Wrath_Of_PANDAS,4,512;512;128;128,,,,,
Glaucoma,5,512;512;512;512;512,,,,,
Cinco_De_Mayo,5,512;256;128;64;32,,,,,
Heavily_Caffeinated,5,256;128;64;32;16,,,,,
Who_Puts_Fries_In_A_Burrito,5,256;256;128;128;32,,,,,
