,Model,Num_hidden_layers,Layer_widths,Train_Acc,Val_Acc,Train_Loss,Val_Loss,Early_Stopping_Epoch
0,TresLocos,3,512;512;256,0.8317523714428358,0.8682634730538922,0.02563617491180517,0.016856371255929835,5.0
1,Three_Musketers,3,256;256;256,0.8437343984023964,0.8682634730538922,0.014489500641569874,0.019701748253580578,9.0
2,threes_company,3,128;128;128,0.9870194707938093,0.9281437125748503,0.0011079321508369066,0.031580318239500776,59.0
3,Winter_Is_Coming,3,512;256;256,0.9855217174238642,0.9341317365269461,0.002001228358706295,0.039624704728404916,33.0
4,dosEquis,2,512;256,0.9870194707938093,0.9341317365269461,0.0012901711972029084,0.03317064470695164,26.0
5,Twins,2,512;128,0.872191712431353,0.8662674650698603,0.015141929540256827,0.016210810242298833,6.0
6,seeingDouble,2,1024;256,0.9161258112830754,0.8982035928143712,0.008688697777409524,0.01677261923482556,7.0
7,paul,1,512,0.9960059910134798,0.9261477045908184,0.00038813082343850855,0.03715252399002155,51.0
8,john,1,256,0.8691962056914628,0.810379241516966,0.009773630565157903,0.017109397285712695,6.0
9,Night_At_The_Museum,4,512;256;256;128,0.9156265601597604,0.874251497005988,0.00840458841887463,0.01931020369875931,11.0
10,The_Wrath_Of_PANDAS,4,512;512;128;128,0.836245631552671,0.8483033932135728,0.023043127073029905,0.015968844205319525,9.0
11,Glaucoma,5,512;512;512;512;512,0.8657014478282576,0.8762475049900199,0.012662830219022406,0.021316441188672347,9.0
12,Cinco_De_Mayo,5,512;256;128;64;32,0.9785322016974538,0.9341317365269461,0.0026242886755952106,0.04295717991382895,60.0
13,Heavily_Caffeinated,5,256;128;64;32;16,0.8786819770344483,0.8822355289421158,0.015906713601653716,0.015356534285221747,16.0
14,Who_Puts_Fries_In_A_Burrito,5,256;256;128;128;32,0.9585621567648527,0.8842315369261478,0.003952256713064385,0.027560688904718963,35.0
